icon,homepage,ID,comment_link,time,comment,like,reply
https://yt3.ggpht.com/ytc/AIdro_mHWIVzWZ8V5IXLOfVEO1N7nq_NqNnFWigq-7h_QboP9g=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@havik7954,@havik7954,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=Ugx-7IWw1QAOKFb0a-d4AaABAg,7天前,Respect to Chinese people and to China. Hope we can all get along and put aside our political differences.,803,25 条回复
https://yt3.ggpht.com/iOoLL7lN1aW3Jq1uWTfp9jZp6ZVyJMXgbxeIER-TN94v46_TLUz25ebS5gIrZY9wLSydhT55=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Jitsudo,@Jitsudo,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgzMaMCG7LYbTJNCYVR4AaABAg,10小时前,"The two bodyguards should get paid extra on top of their travel expenses and everything. You can see the stress in their eyes when big crowds surround them, but they handle everything well and put up with Speed's, if I can name it ""constant protocol breaking"", random stops, bark-offs and sprints. Love how they're balancing friendliness, to not offend any fans or give Speed a bad look, being aware of the surroundings, keeping Speed and the camera man safe.
Respect to the random dude that's been stalking them and giving free drinks to the crew!",1,
https://yt3.ggpht.com/M-J3LanCOCf1Iw93v39vqCW-6ey2CP7rqQhGIGZ7p2nkjTi8BgwvNDqV3kg1-DEWLAsL41Kj0g=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@djsapien3448,@djsapien3448,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgwtsWTBZZI1i2u38ix4AaABAg&pp=0gcJCSMANpG00pGi,8天前,This man is doing the Lord's work in dispelling all of the western propaganda about China in only 6 hours,1053,56 条回复
,https://www.youtube.com/@adam-fl3jc,@adam-fl3jc,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgwiqZhExtIhpumtQs94AaABAg,8天前,China is currently better than any country in this world bro. 6 hrs stream without even lag is crazy ! and people are nice too..,857,59 条回复
,https://www.youtube.com/@suyogxettri9463,@suyogxettri9463,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgyvXCVWXtULaGDJvnt4AaABAg,9天前,"This was one of the best and longest speed irl stream 
W china",149,
,https://www.youtube.com/@souiited,@souiited,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgxyyfLBC9YHUs58c2F4AaABAg,2天前,Bro chinese people are like the most humble people.,5,
,https://www.youtube.com/@Leojw10,@Leojw10,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=Ugx37SK1p7YYMxSYeKV4AaABAg&pp=0gcJCSMANpG00pGi,9天前（修改过）,People say China is a dangerous country what a lie its the most developed country in the world its clean safe nice citys and Chinese food is some of the best itw and China has alot of western European culture in shanghai/American culture and to access Internet use a vpn probably 🇨🇳,1087,72 条回复
,https://www.youtube.com/@krave0310,@krave0310,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgyjxSHLUkaurn-hnFx4AaABAg,8天前,"This pink translator is extremely impolite in Chinese traditional culture, he even pointed at passers-by arrogantly and didn't say ""thank you"" after asking questions. The Chinese phrase ""get out of the way"" he taught Speed's bodyguards is also very impolite. It should be ""please make way=借过（jie guo/rang yi xia）"".",720,9 条回复
,https://www.youtube.com/@univea48,@univea48,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgzDT9mVjNRIofDoj7V4AaABAg,8天前,"I'm so glad I met Speed last night on Nanjing Road in Shanghai. OMG, he's really popular, with so many fans. LOL",273,12 条回复
,https://www.youtube.com/@AndreBerlian,@AndreBerlian,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgxtiFD0rNZwZii4XjR4AaABAg,8天前（修改过）,"What a modern, technologically advanced, peaceful country.",446,14 条回复
,https://www.youtube.com/@xondeez757,@xondeez757,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=Ugxscfd0JgairFVy0KB4AaABAg,7天前,i dont know what happened but its insane how rich the kids appear. these chinese cities look richer than lots of european cities,506,40 条回复
,https://www.youtube.com/@henhenhenfu,@henhenhenfu,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgyB8jTcWStt9vMrSNB4AaABAg,9天前（修改过）,"Way better stream than I initially expected, the vibes were positive and watchable  (except when he disturbs people who don't understand what he is saying, such as from 4:20:30 to 4:27:15), honestly one of the best irl streams he has done so far in my opinion (on the top tier with Indonesia and the first stream in Poland in terms of content)",1348,12 条回复
,https://www.youtube.com/@xiaohuzhu3335,@xiaohuzhu3335,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgwzJYXlv4cp1j_BmNF4AaABAg&pp=0gcJCSMANpG00pGi,4天前,让你的安保人员不要在中国的大街上对人们说 走开，走开。这是一个很不礼貌不友善的词语。那么多人就没有人提醒吗，这样说话很容易被揍,8,
,https://www.youtube.com/@euniceshimray4680,@euniceshimray4680,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgywkKTijUuQPlDPjmR4AaABAg,9天前（修改过）,HIS POPULARITY IS INSANE IN CHINA OH MY GOSH . THE PEOPLE ARE SO KIND. CONGRATS ON 37MILLY,138,1 条回复
,https://www.youtube.com/@Liam_1538,@Liam_1538,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgzxHJeEsIYq9WZImFt4AaABAg,8天前,"China has gotta be the greatest country. Everybody was not to bad and not so crazy they all listened pretty much, all of them W China from the UK🇬🇧",384,12 条回复
,https://www.youtube.com/@%E4%BD%99%E9%98%85,@余阅,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgyFNjD_5GKqaK7VFyN4AaABAg,5天前,"If you want to see China's most developed city, welcome to Shanghai; If you want to experience the blend of modernity and tradition, welcome to Beijing; If you want to explore cutting-edge technology, welcome to Shenzhen; If you want to immerse yourself in profound history, welcome to Xi’an; If you want to witness a globally unique ""cyberpunk"" metropolis, welcome to Chongqing; If you want to meet giant pandas, welcome to Chengdu; If you want to experience a fairytale-like ice-and-snow wonderland, welcome to Harbin; If you want to taste the most diverse cuisine, welcome to Guangzhou; If you want to feel China’s poetic Jiangnan charm, welcome to Suzhou and Hangzhou.",549,23 条回复
,https://www.youtube.com/@henrykum-nr7bw,@henrykum-nr7bw,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgyJpX-ZKRJQmw4kckp4AaABAg,2天前（修改过）,"1440P60 video Live streaming for six hours , only China can do it",4,
,https://www.youtube.com/@Rulas29,@Rulas29,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgxyirNHHgJh6seSWfF4AaABAg,9天前,Chinese people are so respectful!!!,265,2 条回复
https://yt3.ggpht.com/ytc/AIdro_les3DumggW7LkQsYhQtxOZX7b6ibiezSOnP43QQF4qBg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Feiliiiiiiii,@Feiliiiiiiii,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgxHF6fNHLo82NzPV154AaABAg,7天前,兄弟们，趁着现在可以在中国240小时过境免签，拿起你们手中的手机，展开一趟有趣的直播吧。粉碎谣言，展示真实的中国。,350,15 条回复
https://yt3.ggpht.com/ytc/AIdro_mwZUceTdTL5PFH00w-UdepeeYR9IxEvXgNMwOfP_rl8ro=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@njv1234,@njv1234,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgwIOANvrH9p2smEHfp4AaABAg&pp=0gcJCSMANpG00pGi,8天前,"Hello to the Chinese in the chat from Florida, USA 🇺🇸 ️ 🇨🇳",611,70 条回复
https://yt3.ggpht.com/dPJ_D68MrGEMpWbwH41KQU1MvYlxtr9GT6jHW4cwg4TSBm_2qQQfD7mYsdHoZgdNIHjm31vD=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@vanciity,@vanciity,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgywExSk_jmIbdaRMJ94AaABAg,1天前（修改过）,Single handedly undid all the US propaganda to hate China !,6,
https://yt3.ggpht.com/h_t3w5kBjMuPxKwRGtw6WeiTYtMCSiXRYFsaN5z-Nj_Nj3_n7RgJAoVomMxcejoXIZTgdPCJUg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@coco_king3d,@coco_king3d,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgzMVBE1gBC9AuwF0TF4AaABAg,9天前,"Bro underestimated his popularity in China, bro was constantly swarmed....",387,14 条回复
