icon,homepage,ID,comment_link,time,comment,like,reply
https://yt3.ggpht.com/ytc/AIdro_nPeLtLgFZ8b4kBhZmFXbDHuSXoU9qTC-ztnrwuGIeMKgU=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@hollowpurple6238,@hollowpurple6238,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgwNReJarjwPk6vn8514AaABAg,1天前,Speed stream completely changed my mind about chinese people theyre so nice wth,57,
https://yt3.ggpht.com/sdM_5P6f0LkPps0hJNgcB0TxkhyLHg4_dPXWcCMsHyMNzisQNUd6qaD6_ttsfCYxfZnm-rAxPQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@GabadiyaSam,@GabadiyaSam,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugxg6ct8IhU7ngvPuQd4AaABAg,1天前,Chinese people seem like such a fun and kind bunch,45,2 条回复
https://yt3.ggpht.com/ytc/AIdro_mQyfLcPHeqfF04rwqq2irebVXAheH_uMEKP2EWiorqEcDKu43gt4_iTOUNkZdFcHYYmQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@huangtianyouhuang-r2k,@huangtianyouhuang-r2k,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugy5h9h8ReWs5qI-57l4AaABAg,1天前,"I'm a Chinese. I'm sorry for what this girl from Chengdu did. Most Chinese people know that such behavior is wrong, but I don't know why she acted so ignorantly. I apologize to you again.",213,10 条回复
,https://www.youtube.com/@Mstne9X,@Mstne9X,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugy3hE-8MKPxROBXHhp4AaABAg&pp=0gcJCSMANpG00pGi,2天前,Bro is single-handedly boosting China's tourism,129,2 条回复
,https://www.youtube.com/@GabadiyaSam,@GabadiyaSam,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugx-tb8trNwWo29W9lV4AaABAg,1天前,China is def the best country he streamed,110,2 条回复
,https://www.youtube.com/@%E4%BD%A0%E5%A5%BD%E6%98%AFNIAHO,@你好是NIAHO,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugyr0n3wXW_h0Fe2ZbN4AaABAg,2天前,"It is a rumor that some people claim this girl is Japanese—she is actually Chinese. As a Chinese person, I deeply apologize for others spreading false information about Japan. However, please believe me when I say that Chinese netizens are criticizing the girl online and have not fabricated rumors about Japanese people. We ask for your understanding and forgiveness.They are trying to tarnish the image of the Chinese people",493,49 条回复
,https://www.youtube.com/@Kyouu0,@Kyouu0,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugx5zeS9VkQPP69YFOR4AaABAg,1天前（修改过）,"Nah china is just something alse man
What a great people,so much love from iraq 🇮🇶",8,
,https://www.youtube.com/@%E9%BB%84%E6%96%87%E8%89%AF-p3g,@黄文良-p3g,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgxYTRomVsHgiz4zaWl4AaABAg,2天前,我并不在意大家如何看待中国，我们希望通过这场直播展示最真实的中国，这个世界是多元化的，这个国家有好的一面，同样也有坏的一面，speed 直播其中有不少中国的传统文化 如果你喜欢欢迎来到我的国家,1153,46 条回复
,https://www.youtube.com/@habesha6883,@habesha6883,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugyaud5IQYqvEkMlE6d4AaABAg,2天前（修改过）,It’s crazy how the city is set up for him…The performers and others weren’t just there by accident..They were there to welcome him except the fans of course,103,6 条回复
,https://www.youtube.com/@Yt.ronexox,@Yt.ronexox,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgyDun3syDKB6TJr-hN4AaABAg,1天前,Love china from Indonesians,57,2 条回复
